年份,省份,项目,合计,农田灌溉,林牧渔畜,工业,城镇公共,居民生活,生态环境
2019,合计,withdraw,441.62,304.06,20.66,43.03,8.84,26.77,38.26
2019,合计,consumption,370.7,251.39,17.38,34.52,7.75,22.38,37.28
2020,青海,withdraw,12.64,9.8,/,0.18,1.36,/,1.3
2020,青海,consumption,9.33,6.98,/,0.11,1.01,/,1.23
2020,四川,withdraw,0.24,0.15,/,0.01,0.08,/,0
2020,四川,consumption,0.19,0.12,/,0.01,0.06,/,0
2020,甘肃,withdraw,34.52,23.68,/,2.87,4.56,/,3.41
2020,甘肃,consumption,28.03,19.17,/,2.18,3.33,/,3.35
2020,宁夏,withdraw,65.07,56.18,/,3.8,1.74,/,3.35
2020,宁夏,consumption,39.87,32.49,/,3.13,1.23,/,3.02
2020,内蒙古,withdraw,88.31,73.5,/,4.76,2.34,/,7.71
2020,内蒙古,consumption,66.15,55.7,/,4.18,1.86,/,4.41
2020,陕西,withdraw,36.56,19.06,/,4.73,8.48,/,4.29
2020,陕西,consumption,29.22,16.24,/,3.11,5.58,/4.29
2020,山西,withdraw,32.15,18.16,/,4.6,4.38,/,5.01
2020,山西,consumption,28.99,16.2,/,4.14,3.64,/,5.01
2020,河南,withdraw,52.67,32.17,/,6.25,4.19,/,10.06
2020,河南,consumption,49.76,30.87,/,5.1,3.92,/,9.87
2020,山东,withdraw,85.68,44.9,/,14.32,15.75,/,10.71
2020,山东,consumption,83.96,44,/,13.91,15.49,/,10.56
2020,河北和天津,withdraw,18.33,9.24,/,/,3.05,/,6.04
2020,河北和天津,consumption,18.33,9.24,/,/,3.05,/,6.04
2020,合计,withdraw,426.17,286.84,/,41.52,45.93,/,51.88
2020,合计,consumption,353.83,231.01,/,35.87,39.17,/,47.78
2021,青海,withdraw,12.02,9.42,/,0.55,1.04,/,1.01
2021,青海,consumption,8.9,6.84,/,0.33,0.77,/,0.96
2021,四川,withdraw,0.32,0.22,/,0.01,0.09,/,0
2021,四川,consumption,0.23,0.17,/,0,0.06,/,0
2021,甘肃,withdraw,36.8,23.21,/,3.31,5.55,/,4.73
2021,甘肃,consumption,30.03,18.88,/,2.42,4.16,/,4.57
2021,宁夏,withdraw,62.45,54.35,/,3.18,1.83,/,3.09
2021,宁夏,consumption,38.26,31.55,/,2.58,1.35,/,2.78
2021,内蒙古,withdraw,88.95,62.92,/,4.18,2.42,/,19.43
2021,内蒙古,consumption,68.25,47.13,/,3.62,1.93,/,15.57
2021,陕西,withdraw,38.85,19.73,/,5.22,8.73,/,5.17
2021,陕西,consumption,31.14,16.83,/,3.45,5.71,/,5.15
2021,山西,withdraw,32.57,18.32,/,5.6,3.93,/,4.72
2021,山西,consumption,29.61,16.41,/,5.2,3.28,/,4.72
2021,河南,withdraw,41.44,23.84,/,4.69,3.8,/,9.11
2021,河南,consumption,39.21,22.93,/,3.9,3.51,/,8.87
2021,山东,withdraw,72.14,28.91,/,5.78,19.69,/,17.76
2021,山东,consumption,71.16,28.42,/,5.51,19.6,/,17.63
2021,河北和天津,withdraw,10.24,5.75,/,0,2.02,/,2.47
2021,河北和天津,consumption,10.24,5.75,/,0,2.02,/,2.47
2021,合计,withdraw,395.78,246.67,/,32.52,49.1,/,67.49
2021,合计,consumption,327.03,194.91,/,27.01,42.39,/,62.72
